SUB-UNIT UIC,SUB-UNIT NAME
AKPAA,2ND BN 34TH ARM
AKQAA,4TH BN 42NDARTY
AKRAA,2ND BN 77THARTY
FK7AA,3RD BN 12TH INF
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16THARTY
AKGAA,2ND BN 12TH INF
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AJ1AA,4TH AVN BN
AKMAA,6TH BN 29 ARTY
AKQAA,4TH BN 42 ARTY
AKRAA,2ND BN 77 ARTY
AKSAA,124 SIG BN
AKMAA,6TH BN 29 ARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16 ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AJ1AA,4TH AVN BN
AJZAA,HHC
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
ADPAA,2ND BN 1ST CAV
FK7AA,3RD BN 12TH INF
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKEAA,1ST SQ 10TH CAV
AKMAA,6TH BN 29THARTY
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKQAA,4TH BN 42 ARTY
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKSAA,124 SIG BN
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ5AA,HHC 3RD BDE
AJ1AA,4TH AVN BN
FK7AA,3RD BN 12TH INF
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16 ARTY
AKFAA,1ST BN 12TH INF
AKMAA,6TH BN 29THARTY
AKFAA,1ST BN 12TH INF
AKQAA,4TH BN 42 ARTY
AKFAA,1ST BN 12TH INF
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AJ9AA,4TH MED BN
AJ8AA,4TH ADMIN CO
AJ7AA,HHC DIV SPT CMD
AJ1AA,4TH AVN BN
ALRAA,2ND BN 9TH ARTY
AJ1AA,4TH AVN BN
ADPAA,2ND BN 1ST CAV
AKMAA,6TH BN 29THARTY
AKQAA,4TH BN 42NDARTY
AKMAA,6TH BN 29THARTY
AKSAA,124 SIG BN
AKMAA,6TH BN 29THARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16THARTY
AKFAA,1ST BN 12TH INF
ALRAA,2ND BN 9TH ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AJ1AA,4TH AVN BN
AJZAA,HHC
AMDAA,1ST BN 69 ARMOR
AMBAA,2ND BN 35TH INF
ALUAA,1ST BN 14TH INF
FUZAA,4TH BN 60THARTY
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
FK7AA,3RD BN 12TH INF
FUZAA,4TH BN 60THARTY
AKQAA,4TH BN 42NDARTY
AKSAA,124 SIG BN
AKQAA,4TH BN 42NDARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16THARTY
AKFAA,1ST BN 12TH INF
ALRAA,2ND BN 9TH ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AJ8AA,4TH ADMIN CO
AJ2AA,4TH ENG BN
AJ1AA,4TH AVN BN
AJZAA,HHC
AMDAA,1ST BN 69 ARMOR
AMBAA,2ND BN 35TH INF
ALUAA,1ST BN 14TH INF
AMBAA,2ND BN 35TH INF
AMDAA,1ST BN 69 ARMOR
AMBAA,2ND BN 35TH INF
AMAAA,1ST BN 35TH INF
ALUAA,1ST BN 14TH INF
ALRAA,2ND BN 9TH ARTY
ARV02,DIV MORTAR BTRY
ALRAA,2ND BN 9TH ARTY
ADPAA,2ND BN 1ST CAV
FK7AA,3RD BN 12TH INF
AMDAA,1ST BN 69 ARMOR
AMBAA,2ND BN 35TH INF
ARV02,DIV MORTAR BTRY
AMBAA,2ND BN 35TH INF
AMAAA,1ST BN 35TH INF
ALUAA,1ST BN 14TH INF
FK7AA,3RD BN 12TH INF
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16 ARTY
AKMAA,6TH BN 29THARTY
AKHAA,5TH BN 16 ARTY
AKFAA,1ST BN 12TH INF
AKQAA,4TH BN 42 ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKSAA,124 SIG BN
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ8AA,4TH ADMIN CO
AJ2AA,4TH ENG BN
AJ1AA,4TH AVN BN
AJZAA,HHC
AMDAA,1ST BN 69 ARMOR
ALUAA,1ST BN 14TH INF
ALRAA,2ND BN 9TH ARTY
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16 ARTY
AKFAA,1ST BN 12TH INF
AKMAA,6TH BN 29THARTY
AKFAA,1ST BN 12TH INF
AKQAA,4TH BN 42 ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKSAA,124 SIG BN
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
ALRAA,2ND BN 9TH ARTY
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ7AA,HHC DIV SPT CMD
AJ1AA,4TH AVN BN
ADPAA,2ND BN 1ST CAV
AMDAA,1ST BN 69 ARMOR
ARV02,DIV MORTAR BTRY
FK7AA,3RD BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKHAA,5TH BN 16THARTY
AKKAA,1ST BN 22ND INF
AKMAA,6TH BN 29THARTY
AKEAA,1ST SQ 10TH CAV
AKQAA,4TH BN 42NDARTY
AKEAA,1ST SQ 10TH CAV
AKSAA,124 SIG BN
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ8AA,4TH ADMIN CO
AJ5AA,HHC 3RD BDE
AJ2AA,4TH ENG BN
AJ1AA,4TH AVN BN
ALRAA,2ND BN 9TH ARTY
AJ1AA,4TH AVN BN
AJZAA,HHC
AMDAA,1ST BN 69 ARMOR
ALUAA,1ST BN 14TH INF
ARV02,DIV MORTAR BTRY
ALUAA,1ST BN 14TH INF
ADPAA,2ND BN 1ST CAV
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKHAA,5TH BN 16 ARTY
AKFAA,1ST BN 12TH INF
AKMAA,6TH BN 29THARTY
AKFAA,1ST BN 12TH INF
AKQAA,4TH BN 42 ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKSAA,124 SIG BN
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
ALRAA,2ND BN 9TH ARTY
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ7AA,HHC DIV SPT CMD
AJ1AA,4TH AVN BN
AMDAA,1ST BN 69 ARMOR
ARV02,DIV MORTAR BTRY
ADPAA,2ND BN 1ST CAV
FK7AA,3RD BN 12TH INF
ADPAA,2ND BN 1ST CAV
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKHAA,5TH BN 16THARTY
AKKAA,1ST BN 22ND INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKMAA,6TH BN 29THARTY
AKDAA,3RD BN 8TH INF
