SUB-UNIT UIC,SUB-UNIT NAME
A9QAA,36TH CML DET
ACCAA,2ND BN 320 ARTY
ACDAA,1ST BN 321 ARTY
ACGAA,1ST BN 327 INF
ACHAA,2ND BN 327 INF
ACQAA,2ND BN 5020 INF
ACRAA,1ST BN 506THINF
ACCAA,2ND BN 320 ARTY
AB3AA,101ST AVN BN
AB0AA,2ND SQ 17TH CAV
GZCAA,3RE BN 506TH IN
ACHAA,2ND BN 327 INF
ACQAA,2ND BN 502 INF
ACRAA,1ST BN 506THINF
ACSAA,2ND 506TH INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACDAA,1ST BN 321 ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
ACAAA,3RD BN 187THINF
AB3AA,101ST AVN BN
AB0AA,2ND SQ 17TH CAV
GZCAA,3RD BN 506 INF
A9QAA,36TH CML DET
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACHAA,2ND BN 327 INF
ACQAA,2ND BN 502 INF
ACCAA,2ND BN 320 ARTY
GZCAA,3RD BN 506 INF
ACHAA,2ND BN 327 INF
ACQAA,2ND BN 5020 INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
AB0AA,2ND SQ 17TH CAV
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACQAA,2ND BN 502 INF
ACCAA,2ND BN 320 ARTY
ACQAA,2ND BN 502 INF
ACHAA,2ND BN 327 INF
ACCAA,2ND BN 320 ARTY
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACRAA,1ST BN 506THINF
ACSAA,2ND 506TH INF
ACRAA,1ST BN 506THINF
ACQAA,2ND BN 502 INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACAAA,3RD BN 187THINF
ACCAA,2ND BN 320 ARTY
ACAAA,3RD BN 187THINF
ACBAA,2ND BN 319 ARTY
ACAAA,3RD BN 187THINF
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
AB0AA,2ND SQ 17TH CAV
ACAAA,3RD BN 187THINF
AB7AA,101 ABN DIVARTY
AB6AA,HHC 3RD BDE
AB0AA,2ND SQ 17TH CAV
A9QAA,36TH CML DET
A9PAA,20 CML DET
GZCAA,3RD BN 506 INF
A9PAA,20TH CML DET
ACQAA,2ND BN 502 INF
ACHAA,2ND BN 327 INF
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACEAA,326TH EN BN
ACCAA,2ND BN 320 ARTY
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACQAA,2ND BN 502 INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACEAA,A 326 EN BN
ACCAA,2ND BN 320 ARTY
A9PAA,20 CML DET
ACQAA,2ND BN 5020 INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACGAA,1ST BN 327 INF
ACCAA,2ND BN 320 ARTY
ACHAA,2ND BN 327 INF
ACMAA,1ST BN 501 INF
ACNAA,2ND BN 501 INF
ACPAA,1ST BN 502 INF
ACQAA,2ND BN 502 INF
ACSAA,2ND 506TH INF
ACHAA,2ND BN 327 INF
ACGAA,1ST BN 327 INF
ACDAA,1ST BN 321 ARTY
AB3AA,101ST AVN BN
AB0AA,2ND SQ 17TH CAV
ACDAA,1ST BN 321 ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
AB7AA,101ST ABN DIV
ACBAA,2ND BN 319 ARTY
ACAAA,3RD BN 187 INF
AB7AA,101ST ABN DIV
AB0AA,2ND SQ 17TH CAV
GZCAA,3RE BN 506TH IN
ACTAA,801ST MAINT BN
ACSAA,2ND 506TH INF
ACRAA,1ST BN 506THINF
ACQAA,2ND BN 502 INF
ACGAA,1ST BN 327 INF
AB0AA,2ND SQ 17TH CAV
ACGAA,1ST BN 327 INF
AB0AA,2ND SQ 17TH CAV
ACGAA,1ST BN 327 INF
ACDAA,1ST 321ST ARTY
AB0AA,2ND SQ 17TH CAV
ACBAA,2ND BN 319 ARTY
AB7AA,101 ABN DIVARTY
AB6AA,HHC 3RD BDE
AB3AA,101ST AVN BN
AB0AA,2ND SQ 17TH CAV
ACDAA,1ST 321ST ARTY
ACBAA,2ND BN 319 ARTY
ACDAA,1ST 321ST ARTY
ACBAA,2ND BN 319 ARTY
ACDAA,1ST 321ST ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
GZCAA,3RD BN 506 INF
GZBAA,3RD BN 503RDINF
DMNAA,4TH BN 503 INF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD 319TH ARTY
ARHAA,E TRP 17TH CAV
ARGAA,16TH ARMOR CO
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARKAA,173 ENG CO
ARHAA,E TRP 17TH CAV
ARGAA,D CO 16TH ARMOR
DMNAA,4TH BN 503 INF
GZBAA,3RD BN 503RDINF
DMNAA,4TH BN 503 INF
ARMAA,3RD BN 319 ARTY
ARNAA,1ST BN 503D INF
ARPAA,2ND BN 503D INF
ARMAA,3RD BN 319 ARTY
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARLAA,173RD SPT BN
ARHAA,TRP E 17TH CAV
ARGAA,D CO 16TH ARMOR
DMNAA,4TH BN 503 INF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARHAA,TRPE 17TH CAB
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARHAA,TRP E 17TH CAV
ARGAA,D CO 16TH ARMOR
DMNAA,4TH BN 503 INF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARHAA,TRP E 17TH CAV
ARGAA,D CO 16TH ARMOR
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARHAA,TRP E 17TH CAV
DMNAA,4TH BN 503 INF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARJAA,HHC 173RD BDE
ARHAA,TRP E 17TH CAV
GZBAA,3RD BN 503RDINF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARHAA,TRP E 17TH CAV
ARGAA,D CO 16TH ARMOR
GZBAA,3RD BN 503RDINF
DMNAA,4TH BN 503 INF
ARPAA,2ND BN 503 INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARLAA,173RD SPT BN
ARHAA,TRP E 17TH CAV
ARGAA,D CO 16TH ARMOR
GZBAA,3RD BN 503RDINF
ARPAA,2ND BN 503D INF
ARNAA,1ST BN 503 INF
ARMAA,3RD BN 319 ARTY
ARGAA,D CO 16TH ARMOR
FB1AA,2ND BN 1ST INF
FBGAA,F TRP 17TH CAV
FBVAA,3RD BN 21ST INF
FBWAA,4TH BN 31ST INF
FBVAA,3RD BN 21ST INF
FAXAA,8TH SPT BN
FBGAA,F TRP 17TH CAV
FAXAA,8TH SPT BN
FBVAA,3RD BN 21ST INF
FB1AA,2ND BN 1ST INF
FBWAA,4TH BN 31ST INF
FBVAA,3RD BN 21ST INF
FB1AA,2ND BN 1ST INF
FBWAA,4TH BN 31ST INF
FBVAA,3RD BN 21ST INF
FBGAA,F TRP 17TH CAV
FAXAA,8TH SPT BN
FBGAA,F TRP 17TH CAV
FBKAA,3RD BN 82THARTY
FBGAA,F TRP 17TH CAV
FBVAA,3RD BN 21ST INF
FBKAA,3RD BN 82THARTY
FBWAA,4TH BN 31ST INF
FB1AA,2ND BN 1ST INF
FBWAA,4TH BN 31ST INF
FAXAA,8TH SPT BN
FBWAA,4TH BN 31ST INF
FBVAA,3RD BN 21ST INF
FBKAA,3RD BN 82NDARTY
FBGAA,F TRP 17TH CAV
FBVAA,3RD BN 21ST INF
FBKAA,3RD BN 82NDARTY
FAXAA,8TH SPT BN
FBGAA,F TRP 17TH CAV
FB1AA,2ND BN 1ST INF
FBGAA,F TRP 17TH CAV
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBNAA,7TH SPT BN
FB0AA,4TH BN 12TH INF
FBNAA,7TH SPT BN
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FBDAA,HHC 199TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
GN7AA,152ND MP PLT
GK6AA,3RD BN 7TH INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FAMAA,D CO 17TH CAV
FB0AA,4TH BN 12TH INF
FAMAA,D CO 17TH CAV
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
GK6AA,3RD BN 7TH INF
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FBDAA,199TH INF BDE
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
G4FAA,71ST INF DET
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
G4FAA,71ST INF DET
GK6AA,3RD BN 7TH INF
GN7AA,152ND MP PLT
GK6AA,3RD BN 7TH INF
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FBNAA,7TH SPT BN
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FAMAA,D CO 17TH CAV
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
GK6AA,3RD BN 7TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
GN3AA,503RD CML DET
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
G14AA,5TH BN 12TH INF
GK6AA,3RD BN 7TH INF
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
G4FAA,71ST INF DET
GK6AA,3RD BN 7TH INF
GN3AA,503RD CML DET
GK6AA,3RD BN 7TH INF
FB0AA,4TH BN 12TH INF
FBBAA,2ND BN 3RD INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
G4FAA,71ST INF DET
GK6AA,3RD BN 7TH INF
G4FAA,71ST INF DET
GK6AA,3RD BN 7TH INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FB0AA,4TH BN 12TH INF
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FAMAA,D CO 17TH CAV
FBJAA,2ND BN 40THARTY
FBBAA,2ND BN 3RD INF
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPQAA,335 AIR MOB CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
DYBAA,240 AIR MOB CO
DUWAA,190TH ASLT HEL
DUVAA,189 ASLT HEL CO
DUUAA,188TH AVN CO
DUTAA,187 AVN CO
DUSAA,25TH AVN BN
DQLAA,213 MDM HEL CO
CXYAA,220 LT SURVL CO
C5LAA,180 MDM HEL CO
DDSAA,184 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
C41AA,173 AIR MOB CO
C02AA,131 SURVL CO
C08AA,135 ASLT HEL CO
C06AA,147 MDM HEL CO
C08AA,135 ASLT HEL CO
C41AA,173 AIR MOB CO
CXYAA,220 LT SURVL CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3FAA,68 AIR MOB CO
C08AA,135 ASLT HEL CO
C3FAA,68 AIR MOB CO
C08AA,135 ASLT HEL CO
C3FAA,68 AIR MOB CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G30AA,307 CBT AVN BN
G3ZAA,164TH AVN GP
G30AA,307 CBT AVN BN
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G30AA,307 CBT AVN BN
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
AZNAA,7TH SQ 17TH CAC
AYVAA,74 LT SURVL CO
AYBAA,120 AIR MOB CO
AX1AA,13TH AVN BN
AYBAA,120 AIR MOB CO
AX1AA,13TH AVN BN
AYBAA,120 AIR MOB CO
AX1AA,13TH AVN BN
AYBAA,120 AIR MOB CO
AX1AA,13TH AVN BN
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
DLJAA,222 CBT SPT AVN
C3HAA,128 AIR MOB CO
C3JAA,129 AIR MOB CO
C41AA,173 AIR MOB CO
C44AA,176TH AVN CO
C5JAA,178TH AVN CO
DDSAA,184 LT SURVL CO
C3HAA,128 AIR MOB CO
C06AA,147 MDM HEL CO
CXDAA,219 LT SURVL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C3HAA,128 AIR MOB CO
CXDAA,219 LT SURVL CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
CXDAA,219 LT SURVL CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
C3EAA,48TH ASLT HELCO
CXDAA,219 LT SURVL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
AYMAA,17TH ASLT HELCO
AYBAA,120 AIR MOB CO
AX2AA,HHD 14TH AVN BN
AX8AA,117TH AVN CO
AX2AA,HHD 14TH AVN BN
AX9AA,118 AIR MOB CO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AZNAA,7TH SQ 17TH CAC
DUTAA,187 AVN CO
DQLAA,213 MDM HEL CO
DUWAA,190TH ASLT HEL
DUTAA,187 AVN CO
DYBAA,240 AIR MOB CO
DU6AA,205 ASLT HEL CO
DU3AA,200 ASLT HEL CO
DU0AA,195TH ASLT HEL
D8NAA,273 ASLT HEL CO
DU0AA,195TH ASLT HEL
DUYAA,192 ASLT HEL CO
DUXAA,191ST ASLT HEL
DUWAA,190TH ASLT HEL
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 ASLT HEL CO
FJFAA,281 AIR MOB CO
FJGAA,282 ASLT HEL CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
DYBAA,240 AIR MOB CO
DU7AA,HHC 269TH CAV
DU2AA,268TH AVN BN
DUWAA,190TH ASLT HEL
DUTAA,187 AVN CO
DQLAA,213 MDM HEL CO
DDSAA,184 LT SURVL CO
C5LAA,180 MDM HEL CO
C5JAA,178TH AVN CO
C44AA,176TH AVN CO
C42AA,174TH AVN CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
C3EAA,48TH ASLT HELCO
CXYAA,220 LT SURVL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
CXYAA,220 LT SURVL CO
C08AA,135 ASLT HEL CO
CXYAA,220 LT SURVL CO
C08AA,135 ASLT HEL CO
CXDAA,219 LT SURVL CO
C08AA,135 ASLT HEL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
C08AA,135 ASLT HEL CO
CXYAA,220 LT SURVL CO
C08AA,135 ASLT HEL CO
C06AA,147 MDM HEL CO
CXYAA,220 LT SURVL CO
C06AA,147 MDM HEL CO
CXYAA,220 LT SURVL CO
C06AA,147 MDM HEL CO
CXYAA,220 LT SURVL CO
AYWAA,221 RECON APLCO
AYVAA,74TH AVN CO
AYMAA,17TH ASLT HELCO
AZNAA,7TH SQ 17TH CAC
AYMAA,17TH ASLT HELCO
ARTAA,71 ASLT HEL CO
AYMAA,17TH ASLT HELCO
AYBAA,120 AIR MOB CO
ARTAA,71 ASLT HEL CO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
AX2AA,HHD 14TH AVN BN
FELAA,162 AIR MOB CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 ASLT HEL CO
FJFAA,281 AIR MOB CO
G30AA,307 CBT AVN BN
AAMAA,3RD SQ 17TH CAV
G30AA,307 CBT AVN BN
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPQAA,335 AIR MOB CO
G3ZAA,164TH AVN GP
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
AYMAA,17TH ASLT HELCO
AYVAA,74 LT SURVL CO
AYMAA,17TH ASLT HELCO
AYBAA,120 AIR MOB CO
AX9AA,118TH AIR MOBCO
AX8AA,117TH AVN CO
AX2AA,14TH AVN BN
ARTAA,71 ASLT HEL CO
AX2AA,14TH AVN BN
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
AX1AA,13TH AVN BN
AZNAA,7TH SQ 17TH CAC
C44AA,176TH AVN CO
C5JAA,178TH AVN CO
C5LAA,180 MDM HEL CO
C7ZAA,155TH AVN CO
DDRAA,183RD AVN CO
DDSAA,184 LT SURVL CO
C44AA,176TH AVN CO
C3HAA,128 AIR MOB CO
C44AA,176TH AVN CO
C3HAA,128 AIR MOB CO
CXDAA,219 LT SURVL CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C42AA,174TH AVN CO
CXDAA,219 LT SURVL CO
C42AA,174TH AVN CO
CXDAA,219 LT SURVL CO
C42AA,174TH AVN CO
C41AA,173 AIR MOB CO
CXDAA,219 LT SURVL CO
C41AA,173 AIR MOB CO
CXDAA,219 LT SURVL CO
C44AA,176TH AVN CO
C42AA,174TH AVN CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C3FAA,68 AIR MOB CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
FAKAA,11TH AVN BN
AZNAA,7TH SQ 17TH CAC
C08AA,135 ASLT HEL CO
C3EAA,48TH ASLT HELCO
C3FAA,68 AIR MOB CO
C3HAA,128 AIR MOB CO
C3JAA,129 AIR MOB CO
C41AA,173 AIR MOB CO
C44AA,176TH AVN CO
C5JAA,178TH AVN CO
C5LAA,180 MDM HEL CO
DDSAA,184 LT SURVL CO
C08AA,135 ASLT HEL CO
CXDAA,219 LT SURVL CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
CXDAA,219 LT SURVL CO
DQLAA,213 MDM HEL CO
DUTAA,187 AVN CO
DQLAA,213 MDM HEL CO
DUTAA,187 AVN CO
DUYAA,192 ASLT HEL CO
DUXAA,191ST ASLT HEL
DUWAA,190TH ASLT HEL
DUTAA,187 AVN CO
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
DU0AA,195TH ASLT HEL
DUYAA,192 ASLT HEL CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPQAA,335 AIR MOB CO
AAMAA,3RD SQ 17TH CAV
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
DLJAA,222ND AVN BN
DUTAA,187 AVN CO
DQLAA,213 MDM HEL CO
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
DUVAA,189 ASLT HEL CO
DUUAA,188TH AVN CO
DUTAA,187 AVN CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
C02AA,131 SURVL CO
C3FAA,68 AIR MOB CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C06AA,147 MDM HEL CO
C02AA,131 SURVL CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
DDSAA,184 LT SURVL CO
C5LAA,180 MDM HEL CO
C41AA,173 AIR MOB CO
DDSAA,184 LT SURVL CO
AYMAA,17TH ASLT HELCO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
ARTAA,71 ASLT HEL CO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
ARTAA,71 ASLT HEL CO
AYVAA,74 LT SURVL CO
AYMAA,17TH ASLT HELCO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
AX1AA,13TH AVN BN
FJGAA,282ND ASLT HEL
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 ASLT HEL CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
13PAA,USARV FLT DET
G3ZAA,164TH AVN GP
FELAA,162 AIR MOB CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
GPQAA,335 AIR MOB CO
AAMAA,3RD SQ 17TH CAV
DDSAA,184 LT SURVL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
C3EAA,48TH ASLT HELCO
CYPAA,12TH AVN GP
CXYAA,220 LT SURVL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C3EAA,48TH ASLT HELCO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
